key,time,event
s,1723989266.8365674,release
d,1723989266.925169,release
j,1723989266.967413,release
a,1723989266.9740226,press
s,1723989266.9826558,press
d,1723989267.1618564,press
u,1723989267.1895943,press
a,1723989267.2050412,release
s,1723989267.2054896,release
w,1723989267.3611743,press
i,1723989267.4062104,press
u,1723989267.4582896,release
d,1723989267.4832919,release
i,1723989267.5334256,release
w,1723989267.559973,release
Key.space,1723989267.6084664,press
Key.space,1723989267.7290497,release
a,1723989267.7829132,press
s,1723989267.792234,press
u,1723989267.8450608,press
i,1723989267.9231198,press
d,1723989267.9574502,press
s,1723989267.982298,release
a,1723989267.983549,release
u,1723989267.9962375,release
u,1723989268.1199024,press
i,1723989268.1488163,release
e,1723989268.2191038,press
d,1723989268.239204,release
e,1723989268.3347416,release
u,1723989268.3475826,release
d,1723989268.36542,press
i,1723989268.377519,press
w,1723989268.4544952,press
d,1723989268.4847538,release
i,1723989268.5426161,release
u,1723989268.640064,press
w,1723989268.6404138,release
u,1723989268.7460656,release
s,1723989268.7605546,press
a,1723989268.8989527,press
a,1723989268.9598503,release
j,1723989269.1336992,press
d,1723989269.1369731,press
s,1723989269.178283,release
j,1723989269.267973,release
j,1723989269.3954337,press
i,1723989269.4750032,press
w,1723989269.4773102,press
j,1723989269.5718572,release
d,1723989269.5845823,release
i,1723989269.605307,release
w,1723989269.677475,release
Key.space,1723989269.725754,press
Key.space,1723989269.8432362,release
i,1723989269.9420276,press
s,1723989269.9699547,press
a,1723989269.9808438,press
u,1723989270.0908468,press
d,1723989270.1584253,press
a,1723989270.1608827,release
s,1723989270.175284,release
i,1723989270.194832,release
a,1723989270.3065789,press
u,1723989270.3523996,release
i,1723989270.3670132,press
u,1723989270.6125753,press
i,1723989270.6892629,release
a,1723989270.722684,release
u,1723989270.8015542,release
i,1723989270.8677332,press
w,1723989270.8988774,press
d,1723989270.9184036,release
u,1723989271.059024,press
w,1723989271.075671,release
i,1723989271.167555,release
u,1723989271.2109532,release
i,1723989271.3466568,press
u,1723989271.4113348,press
u,1723989271.4756775,release
i,1723989271.4760518,release
s,1723989271.534464,press
a,1723989271.536791,press
i,1723989271.6225317,press
d,1723989271.6683977,press
a,1723989271.7030015,release
s,1723989271.7123122,release
u,1723989271.7874534,press
i,1723989271.8168454,release
u,1723989271.9479737,release
d,1723989272.0202343,release
u,1723989272.0523145,press
i,1723989272.0899024,press
u,1723989272.1683311,release
i,1723989272.2135396,release
s,1723989272.2466905,press
Key.space,1723989272.3801537,press
s,1723989272.405973,release
Key.space,1723989272.5299792,release
s,1723989272.6162732,press
i,1723989272.6268322,press
d,1723989272.6585405,press
u,1723989272.7142577,press
s,1723989272.7158594,release
a,1723989272.8150444,press
d,1723989272.8510482,release
i,1723989272.851292,release
d,1723989272.9664502,press
a,1723989272.9713054,release
u,1723989273.1258397,release
i,1723989273.1828408,press
w,1723989273.1882687,press
d,1723989273.2576551,release
u,1723989273.3647923,press
i,1723989273.3946514,release
w,1723989273.4226983,release
u,1723989273.5602655,release
s,1723989273.6155362,press
a,1723989273.6193306,press
i,1723989273.622881,press
a,1723989273.7490623,release
i,1723989273.7789838,release
d,1723989273.7836854,press
u,1723989273.7967272,press
s,1723989273.8050828,release
w,1723989273.9719956,press
u,1723989273.9945607,release
i,1723989274.0400772,press
d,1723989274.046362,release
w,1723989274.083657,release
w,1723989274.1712697,press
i,1723989274.2293618,release
w,1723989274.335258,release
Key.esc,1723989274.7356508,press
Key.esc,1723989274.9341717,release
